goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
All 5 Skulltulas in Dodongo's Cavern,1,2,1,200.0,50.0,1:04:00,2,100.0
Fairy Slingshot,1,2,1,200.0,50.0,1:14:52,1,50.0
Two Fairy Spells,1,2,1,200.0,50.0,1:09:51,2,100.0
5 Zora area HPs,2,3,1,150.0,33.3,1:04:30,3,100.0
Map & Compass in Forest Temple,2,3,2,150.0,66.7,1:13:45,2,66.7
All 5 Skulltulas in Spirit Temple,3,4,3,133.3,75.0,1:04:04,4,100.0
Both HPs in Death Mountain Crater,1,1,1,100.0,100.0,1:18:44,0,0.0
7 Songs,1,1,0,100.0,0.0,1:13:49,1,100.0
Ice Cavern HP,1,1,0,100.0,0.0,nan,0,0.0
Both Gerudo's Fortress area Skulltulas,1,1,0,100.0,0.0,nan,0,0.0
Epona's Song,2,2,1,100.0,50.0,1:25:43,0,0.0
3 Tunics & 3 Boots,1,1,1,100.0,100.0,1:07:50,1,100.0
4 Songs,3,3,1,100.0,33.3,1:10:17,3,100.0
4 Compasses,1,1,1,100.0,100.0,1:18:44,0,0.0
Defeat Big Octo,1,1,1,100.0,100.0,1:03:38,1,100.0
Milk,1,1,1,100.0,100.0,1:11:01,1,100.0
Frog's HP,1,1,1,100.0,100.0,1:18:44,0,0.0
500 Rupees,2,2,1,100.0,50.0,1:14:42,1,50.0
6 Songs,1,1,1,100.0,100.0,1:16:54,0,0.0
Bomb Bag (30),1,1,0,100.0,0.0,1:13:48,1,100.0
All 5 Skulltulas in Fire Temple,1,1,1,100.0,100.0,1:18:44,0,0.0
Zora Tunic,1,1,0,100.0,0.0,1:19:43,0,0.0
3 Shields,2,2,0,100.0,0.0,1:08:11,1,50.0
Open 5 Gold Rupee Chests,2,2,0,100.0,0.0,1:15:37,0,0.0
6 Different Unused Keys in Gerudo Training Grounds,1,1,0,100.0,0.0,1:19:43,0,0.0
20 Different Skulltulas,1,1,0,100.0,0.0,1:08:11,1,100.0
Defeat Queen Gohma,1,1,0,100.0,0.0,nan,0,0.0
Defeat Morpha,1,1,1,100.0,100.0,1:07:50,1,100.0
3 Boots,2,2,1,100.0,50.0,1:10:24,1,50.0
Open the Final Door of Shadow Trial,1,1,0,100.0,0.0,1:28:06,0,0.0
Silver Gauntlets,2,2,2,100.0,100.0,1:14:28,1,50.0
Gerudo's Card,2,2,1,100.0,50.0,1:09:42,2,100.0
Exactly 20 Deku Sticks,2,2,1,100.0,50.0,1:04:00,2,100.0
1 Skulltula from each Adult Dungeon,6,5,4,83.3,80.0,1:08:54,4,80.0
3 Shields & 3 Boots,4,3,1,75.0,33.3,1:15:59,1,33.3
5 Hearts,4,3,1,75.0,33.3,1:13:49,2,66.7
Defeat Meg (purple Poe),7,5,0,71.4,0.0,1:14:43,2,40.0
9 Songs,3,2,1,66.7,50.0,1:12:31,2,100.0
9 Hearts (no duping),3,2,1,66.7,50.0,1:14:52,1,50.0
Open All 6 Gold Rupee Chests,3,2,0,66.7,0.0,1:19:51,0,0.0
Minuet of Forest,2,1,1,50.0,100.0,1:11:14,1,100.0
Shadow Temple Boss Key,2,1,0,50.0,0.0,1:20:00,0,0.0
All 4 Child Skulltulas in Zora's Domain Area,2,1,1,50.0,100.0,1:11:14,1,100.0
7 Different Bottled Contents,2,1,1,50.0,100.0,1:07:50,1,100.0
Map & Compass in Dodongo's Cavern,2,1,0,50.0,0.0,1:08:11,1,100.0
Bottled Fairy,2,1,1,50.0,100.0,1:09:25,1,100.0
Beat Dodongo's Cavern,2,1,1,50.0,100.0,1:09:41,1,100.0
3 Swords & 3 Boots,2,1,0,50.0,0.0,1:28:06,0,0.0
Defeat King Dodongo,2,1,0,50.0,0.0,1:10:17,1,100.0
All 8 Zora's Domain area Skulltulas,2,1,0,50.0,0.0,1:10:17,1,100.0
Obtain all 5 Small Keys in Shadow Temple,4,2,2,50.0,100.0,1:09:32,2,100.0
Defeat Twinrova,6,3,0,50.0,0.0,1:13:48,2,66.7
Defeat Volvagia,6,3,1,50.0,33.3,1:13:48,2,66.7
All 4 Skulltulas in Jabu-Jabu,2,1,1,50.0,100.0,1:08:54,1,100.0
Goron Tunic,4,2,2,50.0,100.0,1:14:16,1,50.0
Saria's Song,5,2,2,40.0,100.0,1:12:54,1,50.0
Both Rusty Switches in Spirit Temple,5,2,1,40.0,50.0,1:08:00,2,100.0
2 Skulltulas in Lon Lon Ranch,5,2,1,40.0,50.0,1:14:52,1,50.0
"3 Swords, Tunics, Boots, and Shields",5,2,1,40.0,50.0,1:11:37,2,100.0
Clear 8 Silver Rupee Rooms,3,1,1,33.3,100.0,1:05:12,1,100.0
7 Compasses,6,2,1,33.3,50.0,1:11:14,1,50.0
All 3 Skulltulas in Bottom of the Well,6,2,1,33.3,50.0,1:15:52,1,50.0
3 Shields & 3 Tunics,3,1,1,33.3,100.0,1:16:54,0,0.0
Clear 10 Silver Rupee Rooms,3,1,0,33.3,0.0,1:10:17,1,100.0
Bronze Gauntlets,3,1,1,33.3,100.0,1:09:41,1,100.0
Boomerang,3,1,0,33.3,0.0,1:11:38,1,100.0
Keaton Mask,3,1,0,33.3,0.0,1:19:43,0,0.0
Silver Scale,3,1,0,33.3,0.0,1:17:12,0,0.0
6 Maps,3,1,0,33.3,0.0,1:17:12,0,0.0
Open the Final Door of Fire Trial,3,1,0,33.3,0.0,nan,0,0.0
8 Hearts (no duping),3,1,1,33.3,100.0,1:05:36,1,100.0
Free all 9 Gorons in Fire Temple,3,1,1,33.3,100.0,1:09:41,1,100.0
Megaton Hammer,3,1,1,33.3,100.0,1:05:12,1,100.0
Obtain all 5 Small Keys in Forest Temple,3,1,1,33.3,100.0,1:09:25,1,100.0
All 4 Gerudo Valley area Skulltulas,3,1,0,33.3,0.0,1:17:12,0,0.0
Exactly 30 Deku Sticks,3,1,1,33.3,100.0,1:05:36,1,100.0
Defeat a White Wolfos,3,1,1,33.3,100.0,1:11:01,1,100.0
Open 3 Boss Key Doors,3,1,1,33.3,100.0,1:23:21,0,0.0
All 3 Elemental Arrows,10,3,2,30.0,66.7,1:05:24,2,66.7
10 Songs,7,2,0,28.6,0.0,1:16:24,0,0.0
Beat the Spirit Temple,7,2,2,28.6,100.0,1:14:52,1,50.0
7 Maps,4,1,1,25.0,100.0,1:23:21,0,0.0
30 Deku Nuts,4,1,0,25.0,0.0,1:20:00,0,0.0
All 5 Skulltulas in Water Temple,4,1,0,25.0,0.0,nan,0,0.0
Din's Fire,8,2,0,25.0,0.0,1:11:00,2,100.0
Farore's Wind,5,1,1,20.0,100.0,1:03:38,1,100.0
Quiver (40),6,1,1,16.7,100.0,1:16:54,0,0.0
30 Different Skulltulas,13,1,1,7.7,100.0,1:03:38,1,100.0
Water Temple Boss Key,2,0,0,0.0,0.0,nan,0,0.0
Fire Temple Boss Key,3,0,0,0.0,0.0,nan,0,0.0
Bullet Bag (50),1,0,0,0.0,0.0,nan,0,0.0
All 4 Market area Skulltulas,1,0,0,0.0,0.0,nan,0,0.0
All 3 Skulltulas in Ice Cavern,1,0,0,0.0,0.0,nan,0,0.0
Water Medallion,3,0,0,0.0,0.0,nan,0,0.0
All 5 Lake Hylia Skulltulas,3,0,0,0.0,0.0,nan,0,0.0
All 8 Death Mountain area Skulltulas,1,0,0,0.0,0.0,nan,0,0.0
Beat Jabu-Jabu's Belly,1,0,0,0.0,0.0,nan,0,0.0
Beat the Fire Temple,1,0,0,0.0,0.0,nan,0,0.0
Clear 4 Silver Rupee Rooms,1,0,0,0.0,0.0,nan,0,0.0
Beat the Shadow Temple,1,0,0,0.0,0.0,nan,0,0.0
Beat the Water Temple,1,0,0,0.0,0.0,nan,0,0.0
Blue Fire,1,0,0,0.0,0.0,nan,0,0.0
3 Tunics,3,0,0,0.0,0.0,nan,0,0.0
7 Magic Beans,3,0,0,0.0,0.0,nan,0,0.0
Defeat Nabooru-Knuckle,2,0,0,0.0,0.0,nan,0,0.0
Open the Final Door of Water Trial,3,0,0,0.0,0.0,nan,0,0.0
Fire Medallion,3,0,0,0.0,0.0,nan,0,0.0
1 Skulltula from each Child Dungeon,1,0,0,0.0,0.0,nan,0,0.0
Ice Arrows,1,0,0,0.0,0.0,nan,0,0.0
Goron Bracelet,5,0,0,0.0,0.0,nan,0,0.0
Green Gauntlets,5,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Fire Temple,5,0,0,0.0,0.0,nan,0,0.0
Defeat a Skull Kid,1,0,0,0.0,0.0,nan,0,0.0
Defeat all Lizalfos in Dodongo's Cavern,1,0,0,0.0,0.0,nan,0,0.0
Desert Colossus HP,1,0,0,0.0,0.0,nan,0,0.0
Double Defense,1,0,0,0.0,0.0,nan,0,0.0
1 Unused Small Key in each Adult Dungeon,4,0,0,0.0,0.0,nan,0,0.0
5 Maps,1,0,0,0.0,0.0,nan,0,0.0
5 Magic Beans,1,0,0,0.0,0.0,nan,0,0.0
4 Maps,1,0,0,0.0,0.0,nan,0,0.0
Both HPs in Lost Woods,3,0,0,0.0,0.0,nan,0,0.0
Ganon's Castle Boss Key,1,0,0,0.0,0.0,nan,0,0.0
Get Bombchu chest in Spirit Temple,1,0,0,0.0,0.0,nan,0,0.0
Cow in House,3,0,0,0.0,0.0,nan,0,0.0
Defeat Phantom Ganon,2,0,0,0.0,0.0,nan,0,0.0
8 Songs,1,0,0,0.0,0.0,nan,0,0.0
15 Different Skulltulas,2,0,0,0.0,0.0,nan,0,0.0
Open the Final Door of Forest Trial,1,0,0,0.0,0.0,nan,0,0.0
Lens of Truth,1,0,0,0.0,0.0,nan,0,0.0
Lon Lon Ranch HP,1,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Ice Cavern,1,0,0,0.0,0.0,nan,0,0.0
Blue Potion,2,0,0,0.0,0.0,nan,0,0.0
Blue Gauntlets,2,0,0,0.0,0.0,nan,0,0.0
Forest Temple Boss Key,2,0,0,0.0,0.0,nan,0,0.0
Open the Final Door of Spirit Trial,2,0,0,0.0,0.0,nan,0,0.0
Giant's Wallet,2,0,0,0.0,0.0,nan,0,0.0
37th Heart Piece (Child Fortress),2,0,0,0.0,0.0,nan,0,0.0
Open 3 Gold Rupee Chests,2,0,0,0.0,0.0,nan,0,0.0
7 Hearts (no duping),2,0,0,0.0,0.0,nan,0,0.0
All 4 Lost Woods area Skulltulas,2,0,0,0.0,0.0,nan,0,0.0
All 8 Kakariko area Skulltulas,2,0,0,0.0,0.0,nan,0,0.0
All 5 Skulltulas in Forest Temple,2,0,0,0.0,0.0,nan,0,0.0
Spirit Temple Boss Key,2,0,0,0.0,0.0,nan,0,0.0
Longshot,1,0,0,0.0,0.0,nan,0,0.0
3 Skulltulas in Water Temple,1,0,0,0.0,0.0,nan,0,0.0
Obtain all 8 Small Keys in Fire Temple,2,0,0,0.0,0.0,nan,0,0.0
4 Unused Keys in Gerudo Training Grounds,2,0,0,0.0,0.0,nan,0,0.0
Fill all 4 Bottle Slots,1,0,0,0.0,0.0,nan,0,0.0
Light Arrows,1,0,0,0.0,0.0,nan,0,0.0
3 Boss Keys,1,0,0,0.0,0.0,nan,0,0.0
Ruto's Letter,1,0,0,0.0,0.0,nan,0,0.0
Plant 5 Magic Beans,1,0,0,0.0,0.0,nan,0,0.0
3 Swords & 3 Shields,1,0,0,0.0,0.0,nan,0,0.0
7 Different Unused Keys in Gerudo Training Grounds,2,0,0,0.0,0.0,nan,0,0.0
3 Swords & 3 Tunics,1,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Spirit Temple,1,0,0,0.0,0.0,nan,0,0.0
3 Lake Hylia Skulltulas,1,0,0,0.0,0.0,nan,0,0.0
Mirror Shield,1,0,0,0.0,0.0,nan,0,0.0
All 4 Lon Lon Ranch area Skulltulas,2,0,0,0.0,0.0,nan,0,0.0
Nayru's Love,1,0,0,0.0,0.0,nan,0,0.0
Fire Arrows,2,0,0,0.0,0.0,nan,0,0.0
Open 2 Boss Key Doors,1,0,0,0.0,0.0,nan,0,0.0
3 Unused Keys in Gerudo Training Grounds,2,0,0,0.0,0.0,nan,0,0.0
